CANTIDAD DE VECTORES, TIEMPO DE EJECUCION, DISTANCIA
1,0:00:00,0
2,0:00:00.000999,8
3,0:00:00,14
4,0:00:00.001000,22
5,0:00:00.001998,24
6,0:00:00.003998,32
7,0:00:00.005992,37
8,0:00:00.008983,41
9,0:00:00.015001,38
10,0:00:00.019992,50
11,0:00:00.028011,50
12,0:00:00.038950,52
13,0:00:00.047972,56
14,0:00:00.059964,62
15,0:00:00.076952,67
16,0:00:00.090953,67
17,0:00:00.115913,70
18,0:00:00.138937,76
19,0:00:00.163890,78
20,0:00:00.195899,78
