0,1,0
0,2,3
0,3,0
0,4,0
0,5,0
0,6,4
0,7,0
0,8,10
0,9,0
0,10,0
0,11,0
0,12,5
0,13,6
0,14,1
0,15,3
0,16,8
0,17,0
0,18,0
0,19,6
1,0,0
1,2,3
1,3,0
1,4,0
1,5,0
1,6,4
1,7,0
1,8,10
1,9,0
1,10,0
1,11,0
1,12,5
1,13,6
1,14,1
1,15,3
1,16,8
1,17,0
1,18,0
1,19,6
2,0,3
2,1,3
2,3,3
2,4,3
2,5,3
2,6,7
2,7,3
2,8,11
2,9,3
2,10,3
2,11,3
2,12,8
2,13,9
2,14,4
2,15,6
2,16,7
2,17,3
2,18,3
2,19,9
3,0,0
3,1,0
3,2,3
3,4,0
3,5,0
3,6,4
3,7,0
3,8,10
3,9,0
3,10,0
3,11,0
3,12,5
3,13,6
3,14,1
3,15,3
3,16,8
3,17,0
3,18,0
3,19,6
4,0,0
4,1,0
4,2,3
4,3,0
4,5,0
4,6,4
4,7,0
4,8,10
4,9,0
4,10,0
4,11,0
4,12,5
4,13,6
4,14,1
4,15,3
4,16,8
4,17,0
4,18,0
4,19,6
5,0,0
5,1,0
5,2,3
5,3,0
5,4,0
5,6,4
5,7,0
5,8,10
5,9,0
5,10,0
5,11,0
5,12,5
5,13,6
5,14,1
5,15,3
5,16,8
5,17,0
5,18,0
5,19,6
6,0,4
6,1,4
6,2,7
6,3,4
6,4,4
6,5,4
6,7,4
6,8,8
6,9,4
6,10,4
6,11,4
6,12,9
6,13,4
6,14,5
6,15,3
6,16,8
6,17,4
6,18,4
6,19,4
7,0,0
7,1,0
7,2,3
7,3,0
7,4,0
7,5,0
7,6,4
7,8,10
7,9,0
7,10,0
7,11,0
7,12,5
7,13,6
7,14,1
7,15,3
7,16,8
7,17,0
7,18,0
7,19,6
8,0,10
8,1,10
8,2,11
8,3,10
8,4,10
8,5,10
8,6,8
8,7,10
8,9,10
8,10,10
8,11,10
8,12,13
8,13,8
8,14,11
8,15,7
8,16,8
8,17,10
8,18,10
8,19,10
9,0,0
9,1,0
9,2,3
9,3,0
9,4,0
9,5,0
9,6,4
9,7,0
9,8,10
9,10,0
9,11,0
9,12,5
9,13,6
9,14,1
9,15,3
9,16,8
9,17,0
9,18,0
9,19,6
10,0,0
10,1,0
10,2,3
10,3,0
10,4,0
10,5,0
10,6,4
10,7,0
10,8,10
10,9,0
10,11,0
10,12,5
10,13,6
10,14,1
10,15,3
10,16,8
10,17,0
10,18,0
10,19,6
11,0,0
11,1,0
11,2,3
11,3,0
11,4,0
11,5,0
11,6,4
11,7,0
11,8,10
11,9,0
11,10,0
11,12,5
11,13,6
11,14,1
11,15,3
11,16,8
11,17,0
11,18,0
11,19,6
12,0,5
12,1,5
12,2,8
12,3,5
12,4,5
12,5,5
12,6,9
12,7,5
12,8,13
12,9,5
12,10,5
12,11,5
12,13,11
12,14,6
12,15,8
12,16,13
12,17,5
12,18,5
12,19,11
13,0,6
13,1,6
13,2,9
13,3,6
13,4,6
13,5,6
13,6,4
13,7,6
13,8,8
13,9,6
13,10,6
13,11,6
13,12,11
13,14,7
13,15,5
13,16,10
13,17,6
13,18,6
13,19,2
14,0,1
14,1,1
14,2,4
14,3,1
14,4,1
14,5,1
14,6,5
14,7,1
14,8,11
14,9,1
14,10,1
14,11,1
14,12,6
14,13,7
14,15,4
14,16,9
14,17,1
14,18,1
14,19,7
15,0,3
15,1,3
15,2,6
15,3,3
15,4,3
15,5,3
15,6,3
15,7,3
15,8,7
15,9,3
15,10,3
15,11,3
15,12,8
15,13,5
15,14,4
15,16,5
15,17,3
15,18,3
15,19,5
16,0,8
16,1,8
16,2,7
16,3,8
16,4,8
16,5,8
16,6,8
16,7,8
16,8,8
16,9,8
16,10,8
16,11,8
16,12,13
16,13,10
16,14,9
16,15,5
16,17,8
16,18,8
16,19,10
17,0,0
17,1,0
17,2,3
17,3,0
17,4,0
17,5,0
17,6,4
17,7,0
17,8,10
17,9,0
17,10,0
17,11,0
17,12,5
17,13,6
17,14,1
17,15,3
17,16,8
17,18,0
17,19,6
18,0,0
18,1,0
18,2,3
18,3,0
18,4,0
18,5,0
18,6,4
18,7,0
18,8,10
18,9,0
18,10,0
18,11,0
18,12,5
18,13,6
18,14,1
18,15,3
18,16,8
18,17,0
18,19,6
19,0,6
19,1,6
19,2,9
19,3,6
19,4,6
19,5,6
19,6,4
19,7,6
19,8,10
19,9,6
19,10,6
19,11,6
19,12,11
19,13,2
19,14,7
19,15,5
19,16,10
19,17,6
19,18,6
