CANTIDAD DE VECTORES, TIEMPO DE EJECUCION, DISTANCIA
1,0:00:00,0
2,0:00:00,3
3,0:00:00.003992,7
4,0:00:00.003999,15
5,0:00:00.024007,23
6,0:00:00.123968,27
7,0:00:00.743823,29
8,0:00:07.122168,31
9,0:00:24.573742,37
10,0:02:13.781854,39
