CANTIDAD DE VECTORES, TIEMPO DE EJECUCION, DISTANCIA
1,0:00:00,0
2,0:00:00,8
3,0:00:00.001015,14
4,0:00:00.005996,22
5,0:00:00.029996,24
6,0:00:00.203882,30
7,0:00:00.971440,34
8,0:00:08.352204,36
9,0:00:35.025795,38
10,0:05:45.941623,48
11,0:28:06.814223,49
12,2:41:17.854895,49
